alpha,Y
-3.028380897,0.002449976
-2.946254679,0.004899952
-2.864128461,0.015442271
-2.782002244,0.100419626
-2.699876026,0.030194253
-2.617749808,0.06643178
-2.53562359,0.079866664
-2.453497372,0.08716341
-2.371371154,0.067915637
-2.289244937,0.056719817
-2.207118719,0.082373265
-2.124992501,0.089398067
-2.042866283,0.053945029
-1.960740065,0.060853461
-1.878613848,0.044014358
-1.79648763,0.06509256
-1.714361412,0.16317058
-1.632235194,0.101891253
-1.550108976,0.125773205
-1.467982758,0.219043265
-1.385856541,0.432833895
-1.303730323,0.449567946
-1.221604105,0.544663194
-1.139477887,0.886259852
-1.057351669,0.989236206
-0.975225452,0.862846181
-0.893099234,0.783440641
-0.810973016,0.583325985
-0.728846798,0.538039262
-0.64672058,0.555406536
-0.564594362,0.344999831
-0.482468145,0.262820176
-0.400341927,0.260577964
-0.318215709,0.19849541
-0.236089491,0.168269814
-0.153963273,0.165631222
-0.071837056,0.201100745
0.010289162,0.192358644
0.09241538,0.186583574
0.174541598,0.141933609
0.256667816,0.161162725
0.338794034,0.08387892
0.420920251,0.117124554
0.503046469,0.126359873
0.585172687,0.147117747
0.667298905,0.098773219
0.749425123,0.137713416
0.831551341,0.111048893
0.913677558,0.125858942
0.995803776,0.057581656
1.077929994,0.067554811
1.160056212,0.078102251
1.24218243,0.075011976
1.324308647,0.043499395
1.406434865,0.048333773
1.488561083,0.054341961
1.570687301,0.036089777
1.652813519,0.072085757
1.734939737,0.080411503
1.817065954,0.019417482
1.899192172,0.030378068
1.98131839,0.025724051
2.063444608,0.018948669
2.145570826,0.02000099
2.227697043,0.000978612
2.309823261,0.037802944
2.391949479,0.003579561
2.474075697,0.004455848
2.556201915,0.003073425
2.638328133,0.019818801
2.72045435,0.001011327
2.802580568,0
2.884706786,0.002615764
2.966833004,0
3.048959222,0.001073755
3.131085439,0
3.213211657,0
3.295337875,0
3.377464093,0
3.459590311,0
3.541716529,0
3.623842746,0
3.705968964,0
3.788095182,0
3.8702214,0
3.952347618,0
4.034473836,0
4.116600053,0
4.198726271,0
4.280852489,0
4.362978707,0
4.445104925,0
4.527231142,0
4.60935736,0
4.691483578,0
4.773609796,0
